@@черный + расизм/культура;semf2='r:rel t:race';Ex:Гетто для черных (сущ.) в США
@@черный + мужчина/женщина/мальчик/ребенок/переселенец;semf2='r:rel t:race';Ex:Гетто для черных (сущ.) в США
@@черный + t:hum:etn;semf2='r:rel t:race';Ex:Гетто для черных (сущ.) в США
@@черный + t:hum:kin;semf='r:qual t:physq:color' semf2='r:rel t:race';Ex:Ч. цвет Ex:Гетто для черных (сущ.) в США
@@черный + t:prof/d:nag;semf2='r:rel ev:neg der:shift dt:physq:color';Ex:Черная магия r:rel t:race
@@черный + t:hum;semf='r:qual t:physq:color' semf2='r:qual ev:neg der:shift dt:physq:color';Ex:Ч. цвет Ex:Черные мысли r:rel t:race
@@черный + r:abstr;semf2='r:qual ev:neg der:shift dt:physq:color';Ex:Черные мысли
@@черный + S;semf='r:qual t:physq:color';Ex:Ч. цвет
@@черный + [0..1]A&t:physq:color;semf='r:qual t:physq:color';Ex:Ч. цвет
A&t:physq:color + [0..1]@@черный;semf='r:qual t:physq:color';Ex:Ч. цвет
@@дикий + турист/отдых/рынок;semf2='r:rel der:shift';Ex:Д. отдых
отдыхать + @@дикий + способ;semf2='r:rel der:shift';Ex:Д. отдых
@@дикий + t:plant/t:hum:etn;semf='r:rel';Ex:Дикие племена
@@дикий + племя;semf='r:rel';Ex:Дикие племена
@@дикий + t:hum/t:hum:kin;semf2='r:qual t:humq der:shift';Ex:Д. ребенок
@@дикий + t:animal;semf='r:rel' semf2='r:qual t:humq der:shift';Ex:Дикие племена Ex:Д. ребенок
@@дикий + t:psych:emot/t:smell/t:behav/t:disease/ev:neg;semf2='r:qual t:degr:max';Ex:Д. восторг
@@дикий + t:tool:cloth/t:ment;semf2='r:qual ev:neg';Ex:Д. наряд
@@доволен;semf='r:qual t:psych:emot';
@@довольна;semf='r:qual t:psych:emot';
@@довольны;semf='r:qual t:psych:emot';
@@довольно + V&inf;semf2='der:adv dt:degr';
@@довольно + A/ADV;semf2='r:qual t:degr';
@@довольно + partcp;semf2='r:qual t:degr';
@@довольно + V;semf='der:a dt:psych:emot';
@@довольно + S&ins;semf='der:a dt:psych:emot';
@@довольно + S&gen;semf2='der:adv dt:degr';
@@довольно;semf='der:a dt:psych:emot' semf2='r:qual t:degr der:adv dt:degr';
@@довольный + количество/время/число;semf2='r:qual t:quant';
@@голодный + anim;semf='r:qual t:physiol';
@@голодный + inan;semf2='r:qual der:shift der:meton dt:physiol';
@@голый + растения;semf='r:qul t:appearance';
@@голый + животные;semf='r:qual';
@@голый + r:concr&t:space;semf='r:qual t:appearance';
@@горбатый + S&anim;semf='r:qual & t:humq';Ex:Г. урод
@@грубый + t:hum/t:hum:kin/t:hum:etn/t:humq;semf2='r:qual t:humq ev:neg';
@@грубый + t:stuff/t:tool:cloth/t:food/t:tool:furn;semf='r:qual t:physq';
@@грубый + голос/смех;semf2='r:qual t:asp:sound ev:neg';
@@грубый + обман/подделка/работа/подсчет;semf2='r:qual ev:neg der:shift dt:physq';
@@грубый + ошибка/нарушение;semf2='r:qual t:degr:max ev:neg';
@@хозяйственный + t:hum/t:hum:kin/t:hum:etn;semf2='r:qual ev:posit der:s';Ex:Хозяйственные мужчины
@@хозяйственный + t:constr/t:tool:instr/t:tool/top:horiz/top:contain;semf2='r:rel der:s';Ex:Х.магазин
@@хозяйственный + r:abstr/субъект;semf='r:rel der:s';Ex:Хозяйственная жизнь страны
@@хозяйственный + r:abstr/организация;semf='r:rel der:s';Ex:Хозяйственная жизнь страны
@@яростный + t:animal/t:hum:etn/t:hum:supernat;semf='r:qual t:psych:emot ev d:habit der:s dt:psych:emot dt:abstr';Ex:Яростные упреки
@@яростный + человек/историк/офицер/гость/гладиатор/фурия;semf='r:qual t:psych:emot ev d:habit der:s dt:psych:emot dt:abstr';Ex:Яростные упреки
@@яростный + t:hum;semf2='r:qual t:degr:max t:humq ev der:s dt:psych:emot dt:abstr';Ex:Яростный противник
@@яростный + мир/ад;semf='r:qual ev der:shift dt:psych:emot dt:abstr';Ex:Яростный мир
@@яростный + S&t:inter;semf2='r:qual t:degr:max';Ex:Яростная атака
@@яростный + pt:partb&pc:hum;semf='r:qual t:psych:emot ev d:habit der:s dt:psych:emot dt:abstr';Ex:Яростные упреки
@@яростный + t:psych:emot;semf='r:qual t:psych:emot ev d:habit der:s dt:psych:emot dt:abstr';Ex:Яростные упреки
@@яростный + t:speech/t:text/t:sound;semf='r:qual t:psych:emot ev d:habit der:s dt:psych:emot dt:abstr';Ex:Яростные упреки
@@крайний + север;semf2='r:qual t:dist:max';
@@крайний + юг/восток/запад;semf2='r:qual t:dist:max';
@@крайний + положение;semf='r:qual t:place' semf2='r:qual t:degr:max';
@@крайний + r:abstr;semf2='r:qual t:degr:max';
@@крайний + r:concr;semf='r:qual t:place';
@@красный + море;semf2='r:rel der:shift dt:physq:color';
@@красный + пахра;semf2='r:rel der:shift dt:physq:color';Ex:Красная армия
@@красный + площадь;semf2='r:qual r:rel ev:posit';Ex:К. угол
@@красный + пресня;semf2='r:rel der:shift dt:physq:color';Ex:Красная армия
@@красный + ворота;semf2='r:qual r:rel ev:posit';Ex:К. угол
@@красный + холм;semf2='r:qual r:rel ev:posit';Ex:К. угол
@@красный + книга;semf2='r:rel der:shift dt:physq:color';
@@красный + книжка/книжечка;semf2='r:rel der:shift dt:physq:color';
@@красный + диплом;semf2='r:rel t:species';Ex:Красная рыба
@@красный + карточка;semf2='r:rel der:shift dt:physq:color';
@@красный + строка;semf2='r:rel der:shift dt:physq:color';
@@красный&sg + нить&sg;semf2='r:rel der:shift dt:physq:color';
@@красный + уголок;semf2='r:rel der:shift dt:physq:color';
@@красный + крест/полумесяц;semf2='r:rel der:shift dt:physq:color';
@@красный + шапочка;semf='r:qual t:physq:color';Ex:К. цвет
@@красный + петух;semf='r:qual t:physq:color';Ex:К. цвет
@@красный + горка;semf2='r:qual r:rel ev:posit';Ex:К. угол
@@красный + день/дата/число;semf2='r:rel der:shift dt:physq:color';
@@красный + денек/угол/крыльцо/девица/девушка/ребенок/словцо/цена/товар;semf2='r:qual r:rel ev:posit';Ex:К. угол
@@красный + волчанка;semf2='r:rel t:species';Ex:Красная рыба
@@красный + лес/дерево/медь/глина/мясо;semf2='r:rel t:species';Ex:Красная рыба
@@красный + рыба/дичь/зверь/гриб;semf2='r:rel t:species';Ex:Красная рыба
@@красный + волк/окунь/краб/полевка/муравей;semf2='r:rel t:species';Ex:Красная рыба
@@красный + горох/ягода/плод;semf='r:qual t:physq:color';Ex:К. цвет
@@красный + t:food;semf2='r:rel t:species';Ex:Красная рыба
@@красный + индеец/испанец;semf2='r:rel t:race der:shift dt:physq:color';Ex:Красный индеец
@@красный + испанка;semf='r:qual t:physq:color';Ex:К. цвет
@@красный + pt:aggr&sc:hum;semf2='r:rel der:shift dt:physq:color';Ex:Красная армия
@@красный + t:armpos;semf2='r:rel der:shift dt:physq:color';Ex:Красная армия
@@красный + t:hum:etn;semf2='r:rel der:shift dt:physq:color';Ex:Красная армия
@@красный + террор/зараза/чума;semf2='r:rel der:shift dt:physq:color';Ex:Красная армия
@@красный + новь;semf2='r:rel der:shift dt:physq:color';Ex:Красная армия
@@красный + октябрь;semf2='r:rel der:shift dt:physq:color';Ex:Красная армия
@@красный + стрела;semf2='r:rel der:shift dt:physq:color';Ex:Красная армия
@@красный + t:hum;semf2='r:rel der:shift dt:physq:color';Ex:Красная армия
@@красный + [0..1]A&t:physq:color;semf='r:qual t:physq:color';Ex:Белая бумага
A&t:physq:color + [0..1]@@красный;semf='r:qual t:physq:color';Ex:Белая бумага
@@красна + изба;semf2='r:qual r:rel ev:posit';Ex:К. угол
[долг] + платеж + '@@красен';semf2='r:qual r:rel ev:posit';Ex:К. угол
@@красный&brev + S&ins;semf2='r:qual r:rel ev:posit';Ex:К. угол
@@красный&brev;semf='r:qual t:physq:color' semf2='r:qual r:rel ev:posit';Ex:К. цвет Ex:К. угол
@@красный + S;semf='r:qual t:physq:color';Ex:К. цвет
@@любопытный + t:hum/t:hum:etn/t:hum:kin;semf='r:qual t:humq';Ex:Л. ребенок
@@любопытный + взгляд;semf2='r:qual der:shift dt:humq';Ex:Л. взгляд
@@любопытный + S;semf2='r:qual';Ex:Л. случай
@@малый + буква;semf='r:qual t:size:min';
@@малый&f + вода;semf2='r:qual der:shift dt:size:min';
@@малый + механизация;semf2='r:qual der:shift dt:size:min';
@@малый + скорость;semf2='r:qual der:shift dt:size:min';
@@малый + толика;semf='r:qual t:size:min';
@@малый + ход;semf2='r:qual der:shift dt:size:min';
@@малый + родина;semf2='r:qual der:shift dt:size:min';
@@мал + золотник + да + дорог;semf='r:qual t:size:min';
самое + '@@малое';semf='r:qual t:size:min';
без + '@@малого';semf='r:qual t:size:min';
и + старый + и + @@малый;semf2='r:qual t:time:age';Ex:Дети малые
от + @@малый + до + великий;semf2='r:qual t:time:age';Ex:Дети малые
@@мал + '@@мала' + меньше;semf2='r:qual t:time:age';Ex:Дети малые
@@мало + ли + что;semf='r:qual t:quant:min';
@@мало + '-' + @@мало;semf='r:qual t:quant:min';
@@малый + кровь;semf2='r:qual der:shift dt:size:min';
@@мало + помалу;semf='r:qual t:quant:min';
ни + много + ни + @@мало;semf='r:qual t:quant:min';
@@мало + каша + есть;semf='r:qual t:quant:min';
@@малый + зал/сцена;semf2='r:qual t:hier';
@@малый + театр;semf2='r:qual t:hier';
@@малый + азия;semf2='r:qual t:hier';
@@малый + земля;semf2='r:qual t:hier';
@@малый + A + энциклопедия;semf2='r:qual t:hier';
@@малый + бизнес/предприятие/предпринимательство;semf2='r:qual der:shift dt:size:min';
@@малый + t:hum:kin;semf2='r:qual t:time:age';Ex:Дети малые
куча + @@малый&f;semf='r:qual t:size:min';
с + @@малый + год;semf2='r:qual t:quant:min';
@@мала/'@@мало'/'@@малы';semf='r:qual t:size:min';
@@мало + A/ADV;semf2='t:degr:min';
@@мало + V&inf;semf2='der:adv dt:degr:min';
@@мало + V;semf2='t:degr:min';
@@мало + [A&gen] + S&gen;semf='r:qual t:quant:min';
